nf,nx,ny
334,116.94487056567594,268.34036433365293
335,110.46084337349397,260.8714859437751
336,108.26351003602676,257.6675244467319
337,110.41453634085212,258.92080200501255
338,116.96754468485419,264.4887111947319
339,127.91644444444445,274.18755555555555
340,143.21345407503233,287.60112117291936
341,163.90359950351674,304.2887877534133
342,189.66680311092918,323.69218174375766
343,219.96465863453815,343.7678714859438
344,255.10999598554798,364.2067442794059
345,293.51489028213166,382.9118338557994
346,335.25954198473283,399.0534351145038
347,379.444089456869,412.33306709265173
348,424.0404958677686,421.4136363636364
349,468.13634444913464,426.07851414098775
350,510.8670494699647,426.3829505300353
351,551.3325613710051,422.66882816118573
352,588.5313121272366,415.1351888667992
353,621.5516883116883,404.84623376623375
354,650.7392739273928,392.8124312431243
355,675.6335656213705,379.49767711962835
356,696.3622828784119,366.0998759305211
357,713.3621025308241,353.07592472420504
358,726.7708764665286,341.2015182884748
359,736.6833333333333,331.14130434782606
360,743.207987942728,323.4415975885456
361,747.1761409127301,318.2097678142514
362,748.269918699187,315.91219512195124
363,746.6440816326531,316.52244897959184
364,742.3563579277865,319.98194662480375
365,735.2322628827483,326.252427184466
366,725.2240515390122,335.32856120257696
367,711.9259510869565,346.4463315217391
368,695.2544529262086,359.15458015267177
369,675.2110705596107,372.87165450121654
370,651.4762456546929,386.553302433372
371,624.0027670171555,399.8317653569452
372,592.507684154743,411.42448330683624
373,557.4092508798391,420.982905982906
374,519.7078109932497,427.1195756991321
375,479.512832263978,429.4518790100825
376,438.3459652251449,427.58314757021844
377,396.8842014636246,421.5665088247955
378,355.78515283842796,411.81528384279477
379,315.0727728983689,397.84901714763697
380,278.6051537822111,381.8262676641729
381,244.70548806032676,363.6179304566401
382,213.99662731871837,344.24030354131537
383,187.7861369399831,325.2523245984784
384,165.7,307.0459227467811
385,148.17303469477383,290.84145805884935
386,134.85111211983659,277.83567862006356
387,126.15023474178403,268.0572769953052
388,121.37101593625498,262.4497011952191
389,120.98415841584159,260.81188118811883
390,124.85399712781235,263.73192915270465
391,133.07564160288157,270.882935614588
392,145.96091065292097,281.9656357388316
393,163.3049732840115,296.77188655980274
394,185.73078454798886,314.2011150935882
395,212.98496835443038,333.44224683544303
396,244.05305964368708,353.1084430673896
397,279.7799847211612,372.7486631016043
398,317.3453733766234,389.91314935064935
399,360.00360144057623,405.6010404161665
400,402.0411954765751,416.73101777059776
401,444.5108514190317,423.8568447412354
402,485.87020905923345,426.61672473867594
403,525.5230560578661,425.65370705244123
404,562.0589656839053,420.70275495408407
405,595.5227272727273,412.53434343434344
406,625.3058120586637,401.95763172189027
407,651.0395480225989,389.91525423728814
408,672.4549819927971,377.31032412965186
409,690.5510597302505,364.9332048811818
410,704.9239569313594,353.01615074024227
411,715.9215406562054,342.6262482168331
412,724.0243346007604,333.9665399239544
413,729.0387045813586,327.63270142180096
414,731.4346378018319,323.7601998334721
415,731.3130217028381,322.80801335559266
416,728.65522875817,324.5106209150327
417,723.4481132075472,329.1580188679245
418,715.430293896006,336.0828937452901
419,704.6231263383297,345.33547466095644
420,690.664464993395,356.59841479524437
421,673.6645649432535,368.77994955863807
422,653.1215638362859,381.6976175931582
423,629.0452203777905,394.6227819118489
424,601.4600110314396,406.54605626034197
425,570.4771784232365,416.60684647302907
426,536.3022113022113,424.10712530712533
427,499.882657869934,428.2450518378888
428,461.258166969147,428.59936479128856
429,421.96896853146853,424.96765734265733
430,382.75934679845295,417.3149978513107
431,343.70038412291933,406.108408023901
432,306.3385132297354,391.5048299034019
433,272.0282208588957,374.7051124744376
434,240.58190912880366,356.02751146310965
435,212.9531314807134,337.14890087100787
436,189.34495959166313,318.99702254359846
437,170.06603366422098,302.4005179110919
438,154.72023019034972,287.75564409030545
439,143.90344514959202,276.3241160471442
440,136.97133301481128,268.57477305303394
441,134.63940886699507,264.80541871921184
442,136.2437591776799,265.2515907978463
443,142.628663003663,270.30998168498166
444,152.92560175054706,279.2800875273523
445,167.94217970049917,291.96339434276206
446,187.51056910569105,307.7174796747967
447,211.72622820919176,325.83082408874805
448,240.25521858999605,345.2016541945648
449,272.98597038191735,364.742790335152
450,308.6168113654301,382.2975532754538
451,347.1446117274168,398.67115689381933
452,386.95604395604397,411.64468864468864
453,427.6662556514591,420.68927250308263
454,467.012936610608,425.7291936179388
455,505.75731652408825,426.70733903647005
456,541.314096499527,423.90823084200565
457,574.4365199797674,417.7617602427921
458,604.0614732379438,408.88182299947005
459,629.7993311036789,398.3723522853958
460,651.7351351351351,386.73813813813814
461,670.257394587791,374.85588420390184
462,685.2938388625593,363.2931618144888
463,697.1459802538787,352.5535966149506
464,705.8064275037369,343.7167414050822
465,712.034727703236,336.5130228887135
466,715.4371900826446,331.78595041322313
467,716.3268744734626,329.5534962089301
468,714.8148774302621,329.8799661876585
469,710.9353274050121,332.95068714632174
470,704.5368916797488,338.403453689168
471,695.5656639765224,346.2325752017608
472,683.8732294617564,356.0297450424929
473,669.2157123834887,367.0772303595206
474,651.4213166144201,379.0194357366771
475,630.4573278399058,391.30135373749266
476,606.0293122886133,403.0315670800451
477,578.178804347826,413.50652173913045
478,547.3988529718457,421.6970802919708
479,514.0019811788014,427.05943536404163
480,478.24524714828897,429.00807984790873
481,441.640127388535,427.23475887170156
482,403.9669642857143,421.3205357142857
483,367.64660633484164,412.2402714932127
484,329.93498049414825,399.1573472041612
485,296.25626043405674,383.9136060100167
486,264.63393990689804,366.5577655522641
487,236.22366764582458,348.11456147712966
488,211.5279317697228,329.68486140724946
489,190.9695931477516,312.4522483940043
490,174.4852227613586,297.06484340538157
491,162.0129579982127,283.93029490616624
492,154.25476522547652,274.6317991631799
493,150.40290556900726,268.84697336561743
